source,id,year_joined_party,start_key,province_joined,locale_joined,political_party,year_left_party,end_key
0003,003007,01898,0,  -9,  -9,001,   -9,0
0003,003056,01895,0,  -9,  -9,011,01895,1
0003,003056,01898,0,  -9,  -9,001,   -9,0
0003,003091,01898,0,0309,0761,001,   -9,0
0003,003112,01915,0,  -9,  -9,001,   -9,0
0003,003116,01902,0,  -9,  -9,001,   -9,0
0003,003117,01893,0,  -9,  -9,001,   -9,0
0003,003117,01893,0,  -9,  -9,011,   -9,0
0003,003135,01903,0,  -9,  -9,001,   -9,0
0003,003144,01905,0,  -9,  -9,001,   -9,0
0003,003160,01902,0,  -9,  -9,001,   -9,0
0003,003161,01904,0,0291,0735,001,   -9,0
0003,003236,01904,0,  -9,  -9,001,   -9,0
0003,003243,01904,0,  -9,  -9,001,   -9,0
0003,003294,01898,0,0143,0318,001,   -9,0
0003,003319,01905,0,  -9,  -9,001,   -9,0
0003,003323,01900,0,  -9,  -9,001,   -9,0
0003,003323,01900,0,  -9,  -9,020,01917,1
0003,003350,01897,0,  -9,  -9,024,01921,0
0003,003350,01921,0,0029,0475,001,   -9,0
0003,003398,   -9,0,  -9,  -9,001,   -9,0
0003,003398,01902,2,  -9,  -9,013,01917,2
0003,003398,01917,1,  -9,  -9,031,01921,2
0003,003443,01913,0,  -9,  -9,001,   -9,0
0003,003458,01920,0,0203,  -9,001,   -9,0
0003,003534,01917,0,0325,0332,001,   -9,0
0003,003546,01906,0,  -9,  -9,001,   -9,0
0003,003611,   -9,0,  -9,  -9,001,   -9,0
0003,003614,01902,0,  -9,  -9,001,   -9,0
0003,003638,01904,0,  -9,  -9,012,01917,0
0003,003638,01917,0,  -9,  -9,021,01919,2
0003,003638,01919,0,0182,0414,001,   -9,0
0003,003653,01896,0,  -9,  -9,011,   -9,0
0003,003653,01903,0,  -9,  -9,001,   -9,0
0003,003660,01915,0,  -9,  -9,001,   -9,0
0003,003663,01916,0,  -9,  -9,001,   -9,0
0003,003666,01912,0,  -9,  -9,012,   -9,0
0003,003666,01917,0,  -9,  -9,001,   -9,0
0003,003680,01901,0,  -9,  -9,001,   -9,0
0003,003683,01909,0,0182,  -9,001,   -9,0
0003,003693,01903,0,  -9,  -9,001,   -9,0
0003,003698,01914,0,  -9,  -9,001,   -9,0
0003,003702,01906,0,  -9,  -9,001,   -9,0
0003,003704,01903,0,  -9,  -9,001,   -9,0
0003,003738,01905,0,0261,0651,001,   -9,0
0003,003750,01917,0,  -9,  -9,001,   -9,0
0003,003752,01906,0,  -9,  -9,001,   -9,0
0003,003755,01904,0,  -9,  -9,001,   -9,0
0003,003758,01903,0,  -9,  -9,001,   -9,0
0003,003760,01917,0,  -9,  -9,001,   -9,0
0003,003772,01902,0,0203,0485,001,   -9,0
0003,003784,01903,0,  -9,  -9,001,   -9,0
0003,003797,01901,0,0223,0545,001,   -9,0
0003,003801,01903,0,  -9,  -9,001,   -9,0
0003,003821,01903,0,  -9,  -9,001,   -9,0
0003,003851,01912,0,0182,  -9,001,   -9,0
0003,003859,01918,0,0318,0787,001,   -9,0
0003,004024,01912,0,  -9,  -9,001,   -9,0
0003,004120,01905,0,  -9,  -9,001,   -9,0
0003,004182,01916,0,  -9,  -9,001,   -9,0
0003,004219,01906,0,0286,0220,001,   -9,0
0003,004285,01903,0,  -9,  -9,001,   -9,0
0003,004295,01917,0,  -9,  -9,001,   -9,0
0003,004375,01905,0,  -9,  -9,001,01917,0
0003,004375,01905,0,0114,0272,001,   -9,0
0003,004375,01921,0,  -9,  -9,001,   -9,0
0003,004552,01921,0,  -9,  -9,001,   -9,0
0003,004565,01919,0,  -9,  -9,001,   -9,0
0003,004699,01904,0,0313,0770,001,   -9,0
0003,004869,01928,0,  -9,  -9,001,   -9,0
0003,004952,01904,0,  -9,  -9,001,   -9,0
0003,004958,01919,0,  -9,  -9,001,   -9,0
0003,005025,01924,0,  -9,  -9,001,   -9,0
0003,005054,01913,0,  -9,  -9,001,   -9,0
0003,005072,01908,0,  -9,  -9,001,   -9,0
0003,005073,01918,0,  -9,  -9,001,   -9,0
0003,005119,01917,0,  -9,  -9,001,   -9,0
0003,005132,01911,0,  -9,  -9,001,   -9,0
0003,005187,01898,0,0203,0485,001,   -9,0
0003,005250,01903,0,  -9,  -9,001,   -9,0
0003,005270,01905,0,0113,0760,001,   -9,0
0003,005291,01915,0,  -9,  -9,001,   -9,0
0003,005313,01903,0,  -9,  -9,001,   -9,0
0003,005328,01901,0,0105,  -9,001,   -9,0
0003,005338,01904,0,  -9,  -9,005,01918,0
0003,005338,01918,0,  -9,  -9,001,   -9,0
0003,005371,01919,0,  -9,  -9,001,   -9,0
0003,005470,01916,0,  -9,  -9,001,   -9,0
0003,005533,01893,0,0203,0485,001,   -9,0
0003,005587,01905,0,  -9,  -9,001,   -9,0
0003,005624,01920,0,0213,0229,001,   -9,0
0003,005782,01913,0,  -9,  -9,001,   -9,0
0003,005821,01914,0,  -9,  -9,001,   -9,0
0003,005857,01917,0,  -9,  -9,001,   -9,0
0003,005866,01911,0,  -9,  -9,001,   -9,0
0003,005888,01918,0,  -9,  -9,001,   -9,0
0003,005894,01919,0,  -9,  -9,001,   -9,0
0003,005984,01919,0,  -9,  -9,001,   -9,0
0003,006059,01904,0,0179,0626,001,   -9,0
0003,006096,01919,0,  -9,  -9,001,   -9,0
0003,006097,01902,0,  -9,  -9,020,01917,0
0003,006097,01907,0,  -9,  -9,046,01917,2
