source,id,year_joined_party,start_key,province_joined,locale_joined,political_party,year_left_party,end_key
3,13543,1901,0,-9,-9,14,-9,0
3,13543,1903,0,-9,-9,1,-9,0
3,13951,1905,0,-9,-9,1,-9,0
3,13951,1914,1,-9,-9,36,1917,2
3,14026,1901,0,-9,-9,12,1917,0
3,14026,1917,0,325,-9,1,-9,0
3,14056,1907,0,182,414,1,-9,0
3,14066,1908,0,179,-9,1,-9,0
3,14074,1917,0,182,414,1,-9,0
3,14150,1905,0,-9,-9,1,-9,0
3,14164,1913,0,49,134,1,-9,0
3,14168,1909,0,-9,-9,1,-9,0
3,14230,1906,0,-9,-9,1,-9,0
3,14240,1897,0,-9,-9,1,-9,0
3,14248,1904,0,-9,-9,1,-9,0
3,14250,1903,0,203,485,1,-9,0
3,14265,1940,0,-9,-9,1,-9,0
3,14340,1917,0,203,485,1,-9,0
3,14344,1899,0,-9,-9,1,-9,0
3,14366,1913,0,182,414,1,-9,0
3,14438,1904,0,-9,-9,1,-9,0
3,14461,1941,0,-9,-9,1,-9,0
3,14462,1912,0,-9,-9,1,-9,0
3,14463,1904,0,179,-9,1,-9,0
3,14468,1898,0,233,572,1,-9,0
3,14503,-9,0,-9,-9,1,-9,0
3,14503,-9,0,-9,-9,3,-9,0
3,14520,1907,0,-9,-9,1,-9,0
3,14550,1917,0,203,485,1,-9,0
3,14552,1905,0,-9,-9,1,-9,0
3,14613,-9,0,-9,-9,1,-9,0
3,14613,1880,0,-9,-9,4,-9,0
3,14614,1917,0,-9,-9,1,-9,0
3,14644,1901,0,-9,-9,1,-9,0
3,14715,-9,0,-9,-9,1,-9,0
3,14715,1907,1,-9,-9,25,1917,0
3,15056,1904,0,-9,-9,1,-9,0
3,15255,1916,0,-9,-9,1,-9,0
3,15869,-9,0,-9,-9,3,1889,0
3,15869,1889,0,-9,-9,11,1903,0
3,15869,1903,0,-9,-9,2,1917,0
3,15869,1917,0,-9,-9,31,1917,0
3,15869,1921,0,203,485,1,-9,0
3,17131,-9,0,-9,-9,1,-9,0
3,17131,1906,0,-9,-9,10,-9,0
3,17177,1945,0,313,770,1,-9,0
3,17601,1904,0,-9,-9,1,-9,0
3,17861,1907,0,-9,-9,1,-9,0
3,17931,1906,0,-9,-9,1,-9,0
3,18151,1905,0,-9,-9,1,-9,0
3,18535,1899,0,148,332,1,-9,0
3,18591,1918,0,-9,-9,1,-9,0
3,19895,1902,0,-9,-9,1,-9,0
3,20391,1907,0,-9,-9,1,-9,0
3,20729,1917,0,-9,-9,1,-9,0
3,20757,1903,0,-9,-9,1,-9,0
3,21525,1919,0,-9,-9,1,-9,0
3,21991,1904,0,223,545,1,-9,0
3,22359,1925,0,-9,-9,1,-9,0
3,22385,1893,0,182,414,1,-9,0
3,22993,1904,0,223,545,1,-9,0
3,23055,1902,0,87,567,1,-9,0
3,23481,1917,0,23,52,1,-9,0
3,23603,1905,0,-9,-9,1,-9,0
3,23629,1942,0,-9,-9,1,-9,0
3,24141,1912,0,-9,-9,1,-9,0
3,24189,1909,0,-9,-9,32,1916,0
3,24189,1917,0,182,414,1,-9,0
3,24431,1914,1,-9,-9,7,1917,0
3,24431,1918,0,-9,-9,1,-9,0
3,24583,1918,0,246,143,1,-9,0
3,24701,1912,0,203,485,1,-9,0
3,24859,1904,0,-9,-9,1,-9,0
3,25059,1904,0,-9,-9,2,1917,0
3,25059,1918,0,-9,-9,1,-9,0
